605,107,1912,7444,9634
611,108,1913,7449,9642
617,108,1913,7450,9642
623,107,1913,7451,9643
629,107,1913,7450,9643
635,106,1913,7449,9640
641,107,1913,7452,9644
647,107,1913,7452,9642
653,107,1913,7451,9642
659,107,1915,7458,9650
665,105,1914,7460,9649
671,107,1915,7461,9655
677,107,1917,7465,9658
683,107,1917,7467,9660
689,108,1918,7470,9662
695,107,1919,7471,9662
701,107,1920,7476,9666
707,107,1920,7477,9666
713,107,1921,7478,9668
719,108,1921,7480,9669
725,108,1922,7480,9671
731,107,1922,7483,9670
737,107,1921,7483,9670
743,107,1922,7482,9672
749,107,1922,7485,9676
755,107,1921,7485,9678
761,108,1920,7484,9679
767,108,1921,7485,9680
773,108,1921,7486,9681
779,108,1922,7490,9683
785,108,1923,7493,9686
791,108,1924,7496,9688
797,108,1924,7500,9692
803,108,1925,7503,9694
809,108,1925,7502,9693
815,108,1923,7499,9691
821,108,1924,7501,9694
827,108,1923,7494,9689
835,108,1923,7491,9686
841,108,1922,7486,9684
847,108,1921,7484,9681
853,108,1922,7488,9685
859,108,1922,7489,9685
865,108,1922,7490,9687
871,108,1922,7492,9686
877,108,1922,7494,9686
883,108,1922,7493,9685
889,108,1922,7493,9686
895,108,1922,7496,9686
901,108,1922,7498,9688
907,108,1924,7499,9690
913,108,1923,7498,9689
919,107,1923,7498,9687
925,108,1924,7499,9690
931,107,1923,7502,9689
937,108,1922,7497,9688
943,108,1918,7492,9679
949,108,1919,7494,9682
955,107,1918,7497,9680
961,108,1919,7500,9685
967,108,1920,7503,9688
973,108,1920,7506,9691
979,108,1920,7510,9692
985,108,1921,7508,9691
991,108,1922,7515,9698
997,108,1922,7517,9700
1003,108,1920,7510,9695
1009,108,1921,7512,9698
1015,108,1921,7511,9696
1021,107,1921,7514,9698
1027,107,1921,7512,9697
1033,107,1921,7516,9698
1039,107,1922,7515,9698
1045,106,1921,7516,9699
1051,108,1931,7532,9761
1057,108,1932,7537,9765
1063,107,1931,7539,9765
1069,107,1932,7537,9764
1075,107,1932,7541,9769
1081,107,1933,7543,9771
1087,106,1933,7544,9770
1093,106,1932,7543,9767
1099,107,1933,7547,9771
1105,108,1935,7550,9776
1111,108,1934,7549,9771
1117,107,1933,7546,9766
1123,107,1934,7548,9770
1129,106,1933,7548,9768
1135,106,1934,7551,9773
1141,106,1934,7551,9772
1147,106,1933,7548,9766
1153,107,1934,7551,9771
1159,107,1934,7546,9774
1165,107,1931,7538,9770
1171,107,1930,7537,9770
1179,107,1932,7539,9770
1185,105,1930,7535,9764
1191,107,1931,7534,9766
1197,107,1931,7532,9758
1203,107,1932,7533,9758
1209,107,1933,7536,9757
1215,104,1892,7370,9544
1221,105,1899,7391,9568
1227,105,1907,7422,9607
1233,104,1890,7352,9512
1239,104,1887,7341,9489
1245,104,1889,7350,9496
1251,104,1899,7391,9548
1257,101,1821,7071,9137
1263,104,1885,7341,9487
1319,105,1876,7308,9463
1325,105,1875,7304,9460
1331,105,1873,7299,9453
1337,105,1876,7310,9467
1343,104,1875,7307,9468
1349,105,1877,7310,9473
1355,105,1877,7313,9476
1361,104,1877,7317,9479
29,110,1927,7453,9708
35,110,1924,7443,9692
41,109,1922,7429,9675
47,109,1917,7414,9654
53,109,1916,7406,9638
61,109,1913,7398,9626
67,108,1912,7395,9619
73,108,1911,7390,9610
79,108,1909,7380,9597
85,108,1906,7373,9588
91,108,1904,7368,9582
97,108,1903,7358,9571
103,108,1901,7356,9564
109,108,1901,7349,9558
115,108,1898,7344,9549
121,108,1898,7340,9546
127,107,1895,7331,9533
133,107,1894,7328,9530
139,107,1893,7325,9525
145,107,1892,7322,9522
151,106,1891,7317,9516
157,106,1891,7316,9514
163,106,1890,7311,9506
169,106,1889,7309,9505
175,106,1888,7305,9500
181,106,1888,7306,9501
187,106,1888,7300,9495
193,106,1887,7299,9493
199,106,1886,7298,9490
205,106,1886,7295,9488
211,106,1885,7293,9486
217,106,1885,7293,9485
223,106,1884,7291,9482
229,106,1884,7289,9480
235,106,1884,7289,9479
241,106,1883,7286,9475
247,106,1883,7285,9477
253,106,1883,7284,9475
259,106,1882,7282,9471
265,106,1882,7282,9472
271,106,1881,7279,9469
277,106,1881,7280,9470
283,106,1881,7280,9469
289,107,1882,7280,9470
295,107,1882,7278,9469
301,106,1881,7278,9467
307,107,1882,7278,9468
313,107,1881,7275,9466
319,107,1881,7277,9466
325,107,1881,7274,9465
331,107,1881,7276,9467
337,106,1881,7277,9466
343,106,1881,7274,9466
349,107,1880,7273,9464
355,106,1880,7275,9465
361,106,1880,7275,9464
367,106,1880,7272,9462
373,106,1880,7273,9464
379,106,1880,7272,9463
385,106,1879,7271,9460
391,107,1880,7274,9465
397,107,1881,7273,9464
405,107,1880,7272,9463
411,107,1881,7272,9465
417,106,1880,7273,9463
423,106,1880,7272,9462
429,106,1880,7272,9464
435,106,1880,7273,9464
441,106,1880,7273,9465
447,107,1881,7275,9467
453,107,1880,7273,9465
459,106,1881,7273,9465
465,107,1880,7275,9466
471,107,1880,7270,9463
477,107,1881,7275,9467
483,107,1880,7274,9467
489,106,1881,7276,9468
495,107,1881,7275,9468
501,106,1881,7275,9469
507,107,1881,7277,9469
513,107,1881,7279,9472
519,106,1881,7278,9472
525,106,1882,7278,9472
531,106,1882,7280,9473
537,106,1881,7280,9473
543,105,1881,7280,9473
549,105,1881,7280,9472
555,106,1882,7283,9477
561,106,1882,7281,9476
567,106,1882,7282,9479
573,105,1883,7284,9480
579,105,1883,7283,9479
585,106,1883,7285,9481
591,106,1882,7284,9478
597,106,1882,7284,9482
603,106,1882,7282,9478
609,106,1884,7287,9486
615,105,1883,7284,9483
621,106,1884,7287,9485
627,107,1884,7289,9487
633,107,1884,7285,9483
639,107,1885,7290,9489
645,107,1885,7290,9491
651,107,1886,7292,9493
